,0
0,0.0
1,0.0
2,0.0047234725
3,0.03491108
4,0.0492361
5,0.05574304
6,0.07095989
7,0.08001403
8,0.10673033
9,0.13769083
10,0.1578244
11,0.15417871
12,0.14280424
13,0.13286594
14,0.11226501
15,0.096812084
16,0.08519091
17,0.089377165
18,0.08667907
19,0.0760175
20,0.06599555
21,0.043818485
22,0.039291143
23,0.031129781
24,0.022998847
25,0.016176898
26,0.010442795
27,0.0057537314
28,0.0053460747
29,0.008143321
30,0.017290365
31,0.023244588
32,0.031887967
33,0.04074221
34,0.05215367
35,0.053782597
36,0.059721906
37,0.06195555
38,0.072232544
39,0.08031714
40,0.07653698
41,0.06986962
42,0.069181964
43,0.06466891
44,0.059800915
45,0.05720947
46,0.065824434
47,0.06727874
48,0.077709146
49,0.08177493
50,0.08174965
51,0.0732892
52,0.05687688
53,0.056390654
54,0.046232905
55,0.036683675
56,0.02927927
57,0.01508135
58,0.0031057931
59,0.0012465753
60,0.0046672
61,0.018225826
62,0.031707417
63,0.03578979
64,0.049730003
65,0.057525735
66,0.06289232
67,0.074349225
68,0.08260304
69,0.09975953
70,0.1038698
71,0.13466945
72,0.14756799
73,0.15926674
74,0.1558857
75,0.17109564
76,0.17450672
77,0.20637292
78,0.22665456
79,0.2149393
80,0.18131593
81,0.17892292
82,0.1616131
83,0.13456061
84,0.11004507
85,0.092109665
86,0.07304295
87,0.04319842
88,0.02190056
89,0.01238312
90,0.004041193
91,0.0
92,0.002317261
93,0.008590117
94,0.013612353
95,0.02061584
96,0.022760324
97,0.02568447
98,0.028611485
99,0.03159418
100,0.034554306
101,0.039156515
102,0.04315852
103,0.04873552
104,0.05031854
105,0.05127726
106,0.051214565
107,0.048557952
108,0.052171912
109,0.052632436
110,0.05191559
111,0.050021164
112,0.04713681
113,0.036672577
114,0.042377032
115,0.027535059
116,0.029522134
117,0.01974929
118,0.011076922
119,0.011284962
120,0.0074539147
121,0.005518401
122,0.01282533
123,0.031807035
124,0.053616576
125,0.06978488
126,0.08217038
127,0.09374002
128,0.11451733
129,0.117450036
130,0.11869974
131,0.11071432
132,0.12899423
133,0.12884459
134,0.13423976
135,0.1370238
136,0.13882089
137,0.12686348
138,0.12621474
139,0.110699974
140,0.096690856
141,0.07907652
142,0.079917416
143,0.074147806
144,0.060645152
145,0.04941381
146,0.033640075
147,0.026276508
148,0.025227364
149,0.01659018
150,0.009033972
151,0.0030591525
152,0.0032455027
153,0.00783767
154,0.014850631
155,0.02629827
156,0.04000457
157,0.056492086
158,0.05554878
159,0.06269191
160,0.0691431
161,0.070891246
162,0.0776621
163,0.07509042
164,0.08041282
165,0.09089711
166,0.08589833
167,0.08674005
168,0.08721104
169,0.076475486
170,0.07295711
171,0.07036658
172,0.06917815
173,0.06735621
174,0.06051344
175,0.055276904
176,0.05023171
177,0.042093366
178,0.033458658
179,0.032094818
180,0.02383519
181,0.010468787
182,0.004217809
183,0.003395617
184,0.0053881146
185,0.021916969
186,0.044199347
187,0.069932155
188,0.10011167
189,0.12486709
190,0.14961338
191,0.17638412
192,0.20853406
193,0.22130975
194,0.2606763
195,0.26676586
196,0.299008
197,0.307097
198,0.32789105
199,0.31381005
200,0.30956447
201,0.282485
202,0.2764574
203,0.24360174
204,0.21748364
205,0.17948532
206,0.14681485
207,0.12389523
208,0.1093388
209,0.08297821
210,0.05767414
211,0.033017486
212,0.018396936
213,0.010614101
214,0.006064227
215,0.0
216,0.017075572
217,0.043251604
218,0.05264541
219,0.06858067
220,0.08251867
221,0.10318922
222,0.12649804
223,0.14618906
224,0.17327201
225,0.22630832
226,0.29553998
227,0.3104776
228,0.31473035
229,0.31099778
230,0.3245077
231,0.29461762
232,0.26941875
233,0.23752236
234,0.22880349
235,0.1902
236,0.19122046
237,0.16683406
238,0.12861678
239,0.10357729
240,0.08214919
241,0.06928682
242,0.05665516
243,0.044473108
244,0.023533445
245,0.0034484044
246,0.0
247,0.0013915505
248,0.020369962
249,0.028597403
250,0.036278952
251,0.060037002
252,0.06803951
253,0.06185316
254,0.064572215
255,0.07209315
256,0.08000472
257,0.090452924
258,0.10453354
259,0.116715394
260,0.1236304
261,0.14041132
262,0.18114266
263,0.16165003
264,0.1394071
265,0.13793185
266,0.12718832
267,0.12355468
268,0.09222158
269,0.08757168
270,0.053374775
271,0.04868946
272,0.034324333
273,0.035809778
274,0.027349176
275,0.016765032
276,0.010243284
277,0.007841745
278,0.0038362779
279,0.004439719
280,0.009854374
281,0.051294506
282,0.074311785
283,0.10199135
284,0.12681901
285,0.14474909
286,0.13964969
287,0.14976953
288,0.16308701
289,0.15322334
290,0.1475889
291,0.14322388
292,0.1412161
293,0.14204925
294,0.12779099
295,0.11122086
296,0.10033854
297,0.0955701
298,0.08900572
299,0.07747738
300,0.067412384
301,0.05428121
302,0.047303483
303,0.038923964
304,0.03216544
305,0.019886985
306,0.015664745
307,0.01113884
308,0.009234568
309,0.004355205
310,0.00470504
311,0.008351887
312,0.015114594
313,0.026467022
314,0.041825674
315,0.06279456
316,0.09556385
317,0.12758225
318,0.16706017
319,0.2037468
320,0.23183048
321,0.25626057
322,0.2815411
323,0.2983858
324,0.29009226
325,0.26835647
326,0.28520972
327,0.266964
328,0.24842939
329,0.20401534
330,0.24083006
331,0.17402765
332,0.15291533
333,0.15474844
334,0.12500525
335,0.10051148
336,0.07555513
337,0.050150506
338,0.038342066
339,0.018096946
340,0.007165393
341,0.0
342,0.0
343,0.0043298304
344,0.009265957
345,0.013910432
346,0.020762037
347,0.02453376
348,0.031904526
349,0.03806787
350,0.042380296
351,0.043759957
352,0.04631097
353,0.047366165
354,0.05244071
355,0.053106617
356,0.049814414
357,0.04991825
358,0.04809788
359,0.04696114
360,0.042556178
361,0.045969307
362,0.0439851
363,0.04296733
364,0.040234525
365,0.039807856
366,0.030637395
367,0.02589428
368,0.019283563
369,0.0150850555
370,0.013722939
371,0.00795343
372,0.0063861664
373,0.0054430217
374,0.013849645
375,0.03215878
376,0.050442047
377,0.08632964
378,0.104342975
379,0.12140591
380,0.1512335
381,0.181075
382,0.18992215
383,0.16650999
384,0.1324798
385,0.123806626
386,0.11539813
387,0.12601572
388,0.13794583
389,0.13235521
390,0.11608014
391,0.11771972
392,0.110925235
393,0.11912211
394,0.10484602
395,0.11266258
396,0.100375585
397,0.08172199
398,0.086260065
399,0.06395833
400,0.06156678
401,0.045237333
402,0.03239069
403,0.016359014
404,0.011468325
405,0.005293105
406,0.0015850365
407,0.0063093975
408,0.01088056
409,0.0153796915
410,0.020446926
411,0.021331174
412,0.021464143
413,0.023911182
414,0.025960375
415,0.029649086
416,0.031029306
417,0.036215115
418,0.03859655
419,0.043102697
420,0.03864158
421,0.038653072
422,0.038422067
423,0.040059235
424,0.041119933
425,0.043775763
426,0.04748009
427,0.037227098
428,0.034668747
