,0
0,0.0
1,0.0
2,0.0091171395
3,0.03989718
4,0.061662786
5,0.07860184
6,0.09567645
7,0.11341011
8,0.12370051
9,0.14116605
10,0.14843524
11,0.15500075
12,0.17083529
13,0.1732193
14,0.18097544
15,0.18338192
16,0.18138707
17,0.19254836
18,0.1830554
19,0.17306331
20,0.15556166
21,0.1387222
22,0.11713585
23,0.10012758
24,0.08603452
25,0.06007896
26,0.045900587
27,0.02954454
28,0.016684968
29,0.0059420206
30,0.0038098693
31,0.0016495213
32,0.0044272393
33,0.02110101
34,0.03352846
35,0.047607295
36,0.059821323
37,0.064941674
38,0.070515215
39,0.07187751
40,0.070210576
41,0.08054703
42,0.08611956
43,0.08709015
44,0.08284545
45,0.07772238
46,0.077419825
47,0.06976178
48,0.06439457
49,0.062475268
50,0.0613433
51,0.064555556
52,0.059385296
53,0.05289302
54,0.04758124
55,0.04096376
56,0.038340077
57,0.029795604
58,0.021187548
59,0.01654012
60,0.012701135
61,0.0066225342
62,0.004223164
63,0.0057202727
64,0.012099789
65,0.017581714
66,0.021958735
67,0.0293235
68,0.03544261
69,0.03968265
70,0.04100674
71,0.04184574
72,0.045126818
73,0.037995577
74,0.04427801
75,0.052566096
76,0.039034054
77,0.041760825
78,0.040108744
79,0.039236568
80,0.04319884
81,0.03886628
82,0.03158698
83,0.031084146
84,0.031004123
85,0.028695703
86,0.023428924
87,0.019277269
88,0.016988747
89,0.00931943
90,0.009869449
91,0.00677412
92,0.0057116523
93,0.015642257
94,0.030003373
95,0.051003247
96,0.06436074
97,0.079730354
98,0.10615432
99,0.11669835
100,0.13597132
101,0.15658039
102,0.17384589
103,0.17740232
104,0.19546017
105,0.19313753
106,0.18906084
107,0.1811822
108,0.16975105
109,0.14511502
110,0.12460534
111,0.11404451
112,0.11054456
113,0.09930157
114,0.08134945
115,0.07240075
116,0.05856943
117,0.041165568
118,0.038262043
119,0.031502664
120,0.017993126
121,0.009465013
122,0.003399372
123,0.0028933324
124,0.006624773
125,0.012715694
126,0.01822938
127,0.022632685
128,0.028375098
129,0.033436734
130,0.038375635
131,0.04323233
132,0.04637768
133,0.05007187
134,0.0555
135,0.06207693
136,0.05964251
137,0.059934378
138,0.055492036
139,0.053022444
140,0.05079192
141,0.050405867
142,0.047841292
143,0.04413478
144,0.042667072
145,0.03582003
146,0.030647378
147,0.028963473
148,0.021406896
149,0.017041862
150,0.012272978
151,0.009240942
152,0.007299844
153,0.0063911416
154,0.0064557604
155,0.010807704
156,0.03681037
157,0.056298394
158,0.078937106
159,0.10403056
160,0.12872711
161,0.15607685
162,0.18357676
163,0.21217775
164,0.23242226
165,0.25704065
166,0.28295887
167,0.2946835
168,0.3045272
169,0.31281784
170,0.31449446
171,0.3130021
172,0.30322582
173,0.29071248
174,0.2685782
175,0.23842236
176,0.21404576
177,0.1776748
178,0.16455185
179,0.13217872
180,0.11117201
181,0.08500138
182,0.061920393
183,0.040092163
184,0.019705597
185,0.005289344
186,0.0
187,0.0067326613
188,0.019249221
189,0.025648948
190,0.031247042
191,0.039717235
192,0.047004826
193,0.047390208
194,0.056578517
195,0.060375232
196,0.075272724
197,0.0799398
198,0.09664376
199,0.108145826
200,0.10502235
201,0.10508446
202,0.109494954
203,0.1249487
204,0.13155724
205,0.15390012
206,0.14035785
207,0.109214984
208,0.10686874
209,0.09627903
210,0.082601145
211,0.066980496
212,0.052752532
213,0.042131536
214,0.027482778
215,0.017148288
216,0.005892912
217,0.0011634026
218,0.0024680793
219,0.0090578925
220,0.013994166
221,0.017621296
222,0.02246264
223,0.028279714
224,0.03173009
225,0.03222532
226,0.042229913
227,0.046209488
228,0.049363427
229,0.047931004
230,0.048344098
231,0.05070047
232,0.049330253
233,0.047384366
234,0.046090677
235,0.041654535
236,0.041738342
237,0.034243673
238,0.03061864
239,0.028304817
240,0.02559236
241,0.024453655
242,0.01941058
243,0.013742397
244,0.010394502
245,0.010005392
246,0.0068600457
247,0.0057154335
248,0.0073110666
249,0.011078209
250,0.013502265
251,0.017291415
252,0.018699497
253,0.022225551
254,0.025203923
255,0.028134428
256,0.0310059
257,0.033859752
258,0.035027854
259,0.041786984
260,0.046910927
261,0.048508085
262,0.046066016
263,0.047122844
264,0.044602342
265,0.049998604
266,0.0416015
267,0.041961644
268,0.040929954
269,0.036741488
270,0.040202945
271,0.033283066
272,0.025668655
273,0.020993352
274,0.017835008
275,0.010916045
276,0.008306347
277,0.004721798
278,0.0060477033
279,0.007305905
280,0.011066619
281,0.016795218
282,0.026163474
283,0.03688974
284,0.044387173
285,0.055462636
286,0.053518154
287,0.062222507
288,0.062297534
289,0.0765242
290,0.080103695
291,0.0874238
292,0.08234304
293,0.098059826
294,0.09678104
295,0.08109786
296,0.08302215
297,0.081925094
298,0.08610153
299,0.07021508
300,0.06189548
301,0.06495416
302,0.058175344
303,0.045058757
304,0.047681898
305,0.038245607
306,0.032988638
307,0.022240628
308,0.0132962335
309,0.007853085
310,0.0031722914
311,0.0044231825
312,0.00830104
313,0.0217797
314,0.032564487
315,0.0453203
316,0.059778575
317,0.067724615
318,0.07543216
319,0.08380431
320,0.09744523
321,0.111114316
322,0.119034074
323,0.12846252
324,0.15272608
325,0.16323918
326,0.16692519
327,0.17357346
328,0.18224907
329,0.1749039
330,0.1854777
331,0.15889949
332,0.15155163
333,0.13531739
334,0.12072603
335,0.09604179
336,0.08009929
337,0.069446966
338,0.055570453
339,0.038902655
340,0.029687857
341,0.020258307
342,0.011875212
343,0.0027698502
344,5.3986907e-05
345,0.00995375
346,0.023015283
347,0.029015038
348,0.04515756
349,0.05768511
350,0.07482204
351,0.07808003
352,0.100294545
353,0.09065634
354,0.06838918
355,0.065610595
356,0.06372923
357,0.052917853
358,0.05277883
359,0.0583229
360,0.054495487
361,0.04907161
362,0.051333368
363,0.048411325
364,0.053105555
365,0.063830905
366,0.06327932
367,0.066635594
368,0.0644429
369,0.06575291
370,0.064993344
371,0.046705253
372,0.04280104
373,0.041834608
374,0.02473389
375,0.010580227
376,0.0023703221
377,0.0013211817
378,0.005764667
379,0.011960093
380,0.019127533
381,0.029608818
382,0.038001016
383,0.049342595
384,0.05765172
385,0.06465511
386,0.0671338
387,0.076484725
388,0.09444394
389,0.11399322
390,0.1246549
391,0.15381381
392,0.15988985
393,0.19891271
394,0.2113832
395,0.22669971
396,0.20431703
397,0.1679179
398,0.14582953
399,0.11289317
400,0.086358055
401,0.07077127
402,0.057077914
403,0.038773283
404,0.0245188
405,0.015776126
406,0.011540849
407,0.0066015664
408,0.005551923
409,0.004242357
410,0.006981345
411,0.01278681
412,0.016576786
413,0.02154631
414,0.02404384
415,0.030295646
416,0.03708857
417,0.04484728
418,0.04678082
419,0.04690603
420,0.048317894
421,0.05337322
422,0.050731644
423,0.050243035
424,0.051583376
425,0.060906403
