DateTime,Quality status,Resolution code,Net regulation volume,System imbalance,Alpha,Marginal incremental price,Marginal decremental price,Strategic reserve price,Positive imbalance price,Negative imbalance price
2023-01-01T00:00:00+01:00,Validated,PT15M,-145.361,153.32,1.09,59.39,-10.19,,-11.28,-11.28
2023-01-01T00:15:00+01:00,Validated,PT15M,-76.942,99.841,0.0,59.37,-4.39,,-4.39,-4.39
2023-01-01T00:30:00+01:00,Validated,PT15M,-139.818,163.714,1.45,55.39,-4.39,,-5.84,-5.84
2023-01-01T00:45:00+01:00,Validated,PT15M,-236.774,255.825,4.63,58.46,-8.83,,-13.46,-13.46
2023-01-01T01:00:00+01:00,Validated,PT15M,-47.269,-25.188,0.0,176.87,-84.9,,176.87,176.87
2023-01-01T01:15:00+01:00,Validated,PT15M,-16.627,80.57,0.0,178.21,-16.34,,-16.34,-16.34
2023-01-01T01:30:00+01:00,Validated,PT15M,-140.893,167.609,1.22,55.0,-15.9,,-17.12,-17.12
2023-01-01T01:45:00+01:00,Validated,PT15M,-177.015,209.798,3.25,55.0,-15.93,,-19.18,-19.18
2023-01-01T02:00:00+01:00,Validated,PT15M,43.57,-55.797,0.0,208.21,-84.9,,208.21,208.21
2023-01-01T02:15:00+01:00,Validated,PT15M,-43.298,95.284,0.0,130.5,-15.98,,-15.98,-15.98
2023-01-01T02:30:00+01:00,Validated,PT15M,-60.727,104.238,0.0,60.0,-12.37,,-12.37,-12.37
2023-01-01T02:45:00+01:00,Validated,PT15M,-143.016,209.302,1.97,60.0,-18.96,,-20.92,-20.92
2023-01-01T03:00:00+01:00,Validated,PT15M,-155.483,141.366,0.0,60.0,-17.07,,-17.07,-17.07
2023-01-01T03:15:00+01:00,Validated,PT15M,-126.323,175.199,2.07,60.0,-13.4,,-15.47,-15.47
2023-01-01T03:30:00+01:00,Validated,PT15M,-208.106,205.107,2.4,60.0,-66.69,,-69.1,-69.1
2023-01-01T03:45:00+01:00,Validated,PT15M,-119.378,124.227,0.0,60.0,-84.9,,-84.9,-84.9
2023-01-01T04:00:00+01:00,Validated,PT15M,-43.938,62.562,0.0,115.76,-84.9,,-84.9,-84.9
2023-01-01T04:15:00+01:00,Validated,PT15M,-71.925,93.502,0.0,60.0,-84.9,,-84.9,-84.9
2023-01-01T04:30:00+01:00,Validated,PT15M,-18.12,41.192,0.0,60.0,-10.0,,-10.0,-10.0
2023-01-01T04:45:00+01:00,Validated,PT15M,-62.941,111.17,0.0,60.0,-10.35,,-10.35,-10.35
2023-01-01T05:00:00+01:00,Validated,PT15M,-161.931,160.164,1.45,60.0,-15.96,,-17.41,-17.41
